NOMBRE DEPARTAMENTO,NOMBRE MUNICIPIO,PCP6||Sexo,PCP7,PEA||Población económicamente activa,Recuento de PCP1
Guatemala,Amatitlán,Hombre,0,,1026
Guatemala,Amatitlán,Hombre,1,,1110
Guatemala,Amatitlán,Hombre,2,,1186
Guatemala,Amatitlán,Hombre,3,,1157
Guatemala,Amatitlán,Hombre,4,,1214
Guatemala,Amatitlán,Hombre,5,,1107
Guatemala,Amatitlán,Hombre,6,,1192
Guatemala,Amatitlán,Hombre,7,,1121
Guatemala,Amatitlán,Hombre,7,Población económicamente activa,6
Guatemala,Amatitlán,Hombre,8,,1123
Guatemala,Amatitlán,Hombre,8,Población económicamente activa,6
Guatemala,Amatitlán,Hombre,9,,1124
Guatemala,Amatitlán,Hombre,9,Población económicamente activa,8
Guatemala,Amatitlán,Hombre,10,,1159
Guatemala,Amatitlán,Hombre,10,Población económicamente activa,10
Guatemala,Amatitlán,Hombre,11,,1089
Guatemala,Amatitlán,Hombre,11,Población económicamente activa,13
Guatemala,Amatitlán,Hombre,12,,1150
Guatemala,Amatitlán,Hombre,12,Población económicamente activa,16
Guatemala,Amatitlán,Hombre,13,,1125
Guatemala,Amatitlán,Hombre,13,Población económicamente activa,30
Guatemala,Amatitlán,Hombre,14,,1163
Guatemala,Amatitlán,Hombre,14,Población económicamente activa,53
Guatemala,Amatitlán,Hombre,15,,1049
Guatemala,Amatitlán,Hombre,15,Población económicamente activa,107
Guatemala,Amatitlán,Hombre,16,,935
Guatemala,Amatitlán,Hombre,16,Población económicamente activa,183
Guatemala,Amatitlán,Hombre,17,,968
Guatemala,Amatitlán,Hombre,17,Población económicamente activa,334
Guatemala,Amatitlán,Hombre,18,,753
Guatemala,Amatitlán,Hombre,18,Población económicamente activa,617
Guatemala,Amatitlán,Hombre,19,,462
Guatemala,Amatitlán,Hombre,19,Población económicamente activa,765
Guatemala,Amatitlán,Hombre,20,,325
Guatemala,Amatitlán,Hombre,20,Población económicamente activa,904
Guatemala,Amatitlán,Hombre,21,,199
Guatemala,Amatitlán,Hombre,21,Población económicamente activa,927
Guatemala,Amatitlán,Hombre,22,,190
Guatemala,Amatitlán,Hombre,22,Población económicamente activa,1126
Guatemala,Amatitlán,Hombre,23,,158
Guatemala,Amatitlán,Hombre,23,Población económicamente activa,1081
Guatemala,Amatitlán,Hombre,24,,92
Guatemala,Amatitlán,Hombre,24,Población económicamente activa,1035
Guatemala,Amatitlán,Hombre,25,,104
Guatemala,Amatitlán,Hombre,25,Población económicamente activa,1073
Guatemala,Amatitlán,Hombre,26,,109
Guatemala,Amatitlán,Hombre,26,Población económicamente activa,931
Guatemala,Amatitlán,Hombre,27,,94
Guatemala,Amatitlán,Hombre,27,Población económicamente activa,959
Guatemala,Amatitlán,Hombre,28,,70
Guatemala,Amatitlán,Hombre,28,Población económicamente activa,1003
Guatemala,Amatitlán,Hombre,29,,61
Guatemala,Amatitlán,Hombre,29,Población económicamente activa,900
Guatemala,Amatitlán,Hombre,30,,57
Guatemala,Amatitlán,Hombre,30,Población económicamente activa,984
Guatemala,Amatitlán,Hombre,31,,38
Guatemala,Amatitlán,Hombre,31,Población económicamente activa,673
Guatemala,Amatitlán,Hombre,32,,42
Guatemala,Amatitlán,Hombre,32,Población económicamente activa,817
Guatemala,Amatitlán,Hombre,33,,55
Guatemala,Amatitlán,Hombre,33,Población económicamente activa,807
Guatemala,Amatitlán,Hombre,34,,38
Guatemala,Amatitlán,Hombre,34,Población económicamente activa,720
Guatemala,Amatitlán,Hombre,35,,36
Guatemala,Amatitlán,Hombre,35,Población económicamente activa,800
Guatemala,Amatitlán,Hombre,36,,42
Guatemala,Amatitlán,Hombre,36,Población económicamente activa,743
Guatemala,Amatitlán,Hombre,37,,50
Guatemala,Amatitlán,Hombre,37,Población económicamente activa,700
Guatemala,Amatitlán,Hombre,38,,42
Guatemala,Amatitlán,Hombre,38,Población económicamente activa,863
Guatemala,Amatitlán,Hombre,39,,28
