NOMBRE DEPARTAMENTO,NOMBRE MUNICIPIO,PCP6||Sexo,PCP7,PEA||Población económicamente activa,Recuento de PCP1
Jalapa,Jalapa,Hombre,0,,1951
Jalapa,Jalapa,Hombre,1,,1977
Jalapa,Jalapa,Hombre,2,,2143
Jalapa,Jalapa,Hombre,3,,2106
Jalapa,Jalapa,Hombre,4,,2117
Jalapa,Jalapa,Hombre,5,,2151
Jalapa,Jalapa,Hombre,6,,2134
Jalapa,Jalapa,Hombre,7,,1937
Jalapa,Jalapa,Hombre,7,Población económicamente activa,22
Jalapa,Jalapa,Hombre,8,,1934
Jalapa,Jalapa,Hombre,8,Población económicamente activa,32
Jalapa,Jalapa,Hombre,9,,1908
Jalapa,Jalapa,Hombre,9,Población económicamente activa,37
Jalapa,Jalapa,Hombre,10,,1969
Jalapa,Jalapa,Hombre,10,Población económicamente activa,54
Jalapa,Jalapa,Hombre,11,,1811
Jalapa,Jalapa,Hombre,11,Población económicamente activa,88
Jalapa,Jalapa,Hombre,12,,1905
Jalapa,Jalapa,Hombre,12,Población económicamente activa,126
Jalapa,Jalapa,Hombre,13,,1664
Jalapa,Jalapa,Hombre,13,Población económicamente activa,243
Jalapa,Jalapa,Hombre,14,,1453
Jalapa,Jalapa,Hombre,14,Población económicamente activa,427
Jalapa,Jalapa,Hombre,15,,1339
Jalapa,Jalapa,Hombre,15,Población económicamente activa,714
Jalapa,Jalapa,Hombre,16,,1018
Jalapa,Jalapa,Hombre,16,Población económicamente activa,818
Jalapa,Jalapa,Hombre,17,,864
Jalapa,Jalapa,Hombre,17,Población económicamente activa,1142
Jalapa,Jalapa,Hombre,18,,657
Jalapa,Jalapa,Hombre,18,Población económicamente activa,1320
Jalapa,Jalapa,Hombre,19,,415
Jalapa,Jalapa,Hombre,19,Población económicamente activa,1252
Jalapa,Jalapa,Hombre,20,,312
Jalapa,Jalapa,Hombre,20,Población económicamente activa,1347
Jalapa,Jalapa,Hombre,21,,221
Jalapa,Jalapa,Hombre,21,Población económicamente activa,1229
Jalapa,Jalapa,Hombre,22,,206
Jalapa,Jalapa,Hombre,22,Población económicamente activa,1484
Jalapa,Jalapa,Hombre,23,,144
Jalapa,Jalapa,Hombre,23,Población económicamente activa,1319
Jalapa,Jalapa,Hombre,24,,145
Jalapa,Jalapa,Hombre,24,Población económicamente activa,1295
Jalapa,Jalapa,Hombre,25,,105
Jalapa,Jalapa,Hombre,25,Población económicamente activa,1270
Jalapa,Jalapa,Hombre,26,,95
Jalapa,Jalapa,Hombre,26,Población económicamente activa,1172
Jalapa,Jalapa,Hombre,27,,81
Jalapa,Jalapa,Hombre,27,Población económicamente activa,1037
Jalapa,Jalapa,Hombre,28,,55
Jalapa,Jalapa,Hombre,28,Población económicamente activa,1178
Jalapa,Jalapa,Hombre,29,,48
Jalapa,Jalapa,Hombre,29,Población económicamente activa,1007
Jalapa,Jalapa,Hombre,30,,47
Jalapa,Jalapa,Hombre,30,Población económicamente activa,1044
Jalapa,Jalapa,Hombre,31,,29
Jalapa,Jalapa,Hombre,31,Población económicamente activa,779
Jalapa,Jalapa,Hombre,32,,36
Jalapa,Jalapa,Hombre,32,Población económicamente activa,961
Jalapa,Jalapa,Hombre,33,,36
Jalapa,Jalapa,Hombre,33,Población económicamente activa,866
Jalapa,Jalapa,Hombre,34,,34
Jalapa,Jalapa,Hombre,34,Población económicamente activa,815
Jalapa,Jalapa,Hombre,35,,44
Jalapa,Jalapa,Hombre,35,Población económicamente activa,879
Jalapa,Jalapa,Hombre,36,,32
Jalapa,Jalapa,Hombre,36,Población económicamente activa,810
Jalapa,Jalapa,Hombre,37,,33
Jalapa,Jalapa,Hombre,37,Población económicamente activa,763
Jalapa,Jalapa,Hombre,38,,43
Jalapa,Jalapa,Hombre,38,Población económicamente activa,845
Jalapa,Jalapa,Hombre,39,,42
Jalapa,Jalapa,Hombre,39,Población económicamente activa,715
Jalapa,Jalapa,Hombre,40,,38
Jalapa,Jalapa,Hombre,40,Población económicamente activa,750
Jalapa,Jalapa,Hombre,41,,18
Jalapa,Jalapa,Hombre,41,Población económicamente activa,569
Jalapa,Jalapa,Hombre,42,,34
Jalapa,Jalapa,Hombre,42,Población económicamente activa,662
Jalapa,Jalapa,Hombre,43,,28
Jalapa,Jalapa,Hombre,43,Población económicamente activa,602
Jalapa,Jalapa,Hombre,44,,35
Jalapa,Jalapa,Hombre,44,Población económicamente activa,530
Jalapa,Jalapa,Hombre,45,,39
Jalapa,Jalapa,Hombre,45,Población económicamente activa,530
Jalapa,Jalapa,Hombre,46,,30
Jalapa,Jalapa,Hombre,46,Población económicamente activa,449
Jalapa,Jalapa,Hombre,47,,28
Jalapa,Jalapa,Hombre,47,Población económicamente activa,467
Jalapa,Jalapa,Hombre,48,,27
Jalapa,Jalapa,Hombre,48,Población económicamente activa,529
Jalapa,Jalapa,Hombre,49,,29
Jalapa,Jalapa,Hombre,49,Población económicamente activa,394
Jalapa,Jalapa,Hombre,50,,38
Jalapa,Jalapa,Hombre,50,Población económicamente activa,502
Jalapa,Jalapa,Hombre,51,,25
Jalapa,Jalapa,Hombre,51,Población económicamente activa,383
Jalapa,Jalapa,Hombre,52,,34
Jalapa,Jalapa,Hombre,52,Población económicamente activa,435
Jalapa,Jalapa,Hombre,53,,25
Jalapa,Jalapa,Hombre,53,Población económicamente activa,366
Jalapa,Jalapa,Hombre,54,,34
Jalapa,Jalapa,Hombre,54,Población económicamente activa,419
Jalapa,Jalapa,Hombre,55,,34
Jalapa,Jalapa,Hombre,55,Población económicamente activa,390
Jalapa,Jalapa,Hombre,56,,31
Jalapa,Jalapa,Hombre,56,Población económicamente activa,342
Jalapa,Jalapa,Hombre,57,,47
Jalapa,Jalapa,Hombre,57,Población económicamente activa,336
Jalapa,Jalapa,Hombre,58,,62
Jalapa,Jalapa,Hombre,58,Población económicamente activa,371
Jalapa,Jalapa,Hombre,59,,37
Jalapa,Jalapa,Hombre,59,Población económicamente activa,293
Jalapa,Jalapa,Hombre,60,,63
Jalapa,Jalapa,Hombre,60,Población económicamente activa,360
Jalapa,Jalapa,Hombre,61,,45
Jalapa,Jalapa,Hombre,61,Población económicamente activa,238
Jalapa,Jalapa,Hombre,62,,54
Jalapa,Jalapa,Hombre,62,Población económicamente activa,240
Jalapa,Jalapa,Hombre,63,,46
Jalapa,Jalapa,Hombre,63,Población económicamente activa,225
Jalapa,Jalapa,Hombre,64,,70
Jalapa,Jalapa,Hombre,64,Población económicamente activa,237
Jalapa,Jalapa,Hombre,65,,54
Jalapa,Jalapa,Hombre,65,Población económicamente activa,234
Jalapa,Jalapa,Hombre,66,,46
Jalapa,Jalapa,Hombre,66,Población económicamente activa,189
Jalapa,Jalapa,Hombre,67,,52
Jalapa,Jalapa,Hombre,67,Población económicamente activa,190
Jalapa,Jalapa,Hombre,68,,55
Jalapa,Jalapa,Hombre,68,Población económicamente activa,177
Jalapa,Jalapa,Hombre,69,,60
Jalapa,Jalapa,Hombre,69,Población económicamente activa,151
Jalapa,Jalapa,Hombre,70,,65
Jalapa,Jalapa,Hombre,70,Población económicamente activa,152
Jalapa,Jalapa,Hombre,71,,42
Jalapa,Jalapa,Hombre,71,Población económicamente activa,92
Jalapa,Jalapa,Hombre,72,,60
Jalapa,Jalapa,Hombre,72,Población económicamente activa,128
Jalapa,Jalapa,Hombre,73,,44
Jalapa,Jalapa,Hombre,73,Población económicamente activa,112
Jalapa,Jalapa,Hombre,74,,44
Jalapa,Jalapa,Hombre,74,Población económicamente activa,107
Jalapa,Jalapa,Hombre,75,,62
Jalapa,Jalapa,Hombre,75,Población económicamente activa,91
Jalapa,Jalapa,Hombre,76,,56
Jalapa,Jalapa,Hombre,76,Población económicamente activa,75
Jalapa,Jalapa,Hombre,77,,46
Jalapa,Jalapa,Hombre,77,Población económicamente activa,65
Jalapa,Jalapa,Hombre,78,,48
Jalapa,Jalapa,Hombre,78,Población económicamente activa,51
Jalapa,Jalapa,Hombre,79,,34
Jalapa,Jalapa,Hombre,79,Población económicamente activa,35
Jalapa,Jalapa,Hombre,80,,53
Jalapa,Jalapa,Hombre,80,Población económicamente activa,31
Jalapa,Jalapa,Hombre,81,,41
Jalapa,Jalapa,Hombre,81,Población económicamente activa,24
Jalapa,Jalapa,Hombre,82,,38
Jalapa,Jalapa,Hombre,82,Población económicamente activa,27
Jalapa,Jalapa,Hombre,83,,33
Jalapa,Jalapa,Hombre,83,Población económicamente activa,27
Jalapa,Jalapa,Hombre,84,,48
Jalapa,Jalapa,Hombre,84,Población económicamente activa,16
Jalapa,Jalapa,Hombre,85,,37
Jalapa,Jalapa,Hombre,85,Población económicamente activa,19
Jalapa,Jalapa,Hombre,86,,26
Jalapa,Jalapa,Hombre,86,Población económicamente activa,10
Jalapa,Jalapa,Hombre,87,,31
Jalapa,Jalapa,Hombre,87,Población económicamente activa,15
Jalapa,Jalapa,Hombre,88,,24
Jalapa,Jalapa,Hombre,88,Población económicamente activa,6
Jalapa,Jalapa,Hombre,89,,14
Jalapa,Jalapa,Hombre,89,Población económicamente activa,4
Jalapa,Jalapa,Hombre,90,,17
Jalapa,Jalapa,Hombre,90,Población económicamente activa,4
Jalapa,Jalapa,Hombre,91,,16
Jalapa,Jalapa,Hombre,91,Población económicamente activa,1
Jalapa,Jalapa,Hombre,92,,9
Jalapa,Jalapa,Hombre,92,Población económicamente activa,3
Jalapa,Jalapa,Hombre,93,,7
Jalapa,Jalapa,Hombre,93,Población económicamente activa,2
Jalapa,Jalapa,Hombre,94,,7
Jalapa,Jalapa,Hombre,94,Población económicamente activa,2
Jalapa,Jalapa,Hombre,95,,8
Jalapa,Jalapa,Hombre,95,Población económicamente activa,2
Jalapa,Jalapa,Hombre,96,,7
Jalapa,Jalapa,Hombre,96,Población económicamente activa,1
Jalapa,Jalapa,Hombre,97,,4
Jalapa,Jalapa,Hombre,98,,4
Jalapa,Jalapa,Hombre,98,Población económicamente activa,2
Jalapa,Jalapa,Hombre,100,,2
Jalapa,Jalapa,Mujer,0,,1968
Jalapa,Jalapa,Mujer,1,,1918
Jalapa,Jalapa,Mujer,2,,2135
Jalapa,Jalapa,Mujer,3,,2090
Jalapa,Jalapa,Mujer,4,,2121
Jalapa,Jalapa,Mujer,5,,2130
Jalapa,Jalapa,Mujer,6,,1979
Jalapa,Jalapa,Mujer,7,,1937
Jalapa,Jalapa,Mujer,7,Población económicamente activa,19
Jalapa,Jalapa,Mujer,8,,1868
Jalapa,Jalapa,Mujer,8,Población económicamente activa,16
Jalapa,Jalapa,Mujer,9,,1893
