NOMBRE DEPARTAMENTO,NOMBRE MUNICIPIO,PCP6||Sexo,PCP7,Recuento de PCP1,POCUPA||Personas Ocupadas
Sacatepéquez,Antigua Guatemala,Hombre,0,301,
Sacatepéquez,Antigua Guatemala,Hombre,1,382,
Sacatepéquez,Antigua Guatemala,Hombre,2,393,
Sacatepéquez,Antigua Guatemala,Hombre,3,390,
Sacatepéquez,Antigua Guatemala,Hombre,4,387,
Sacatepéquez,Antigua Guatemala,Hombre,5,339,
Sacatepéquez,Antigua Guatemala,Hombre,6,394,
Sacatepéquez,Antigua Guatemala,Hombre,7,347,
Sacatepéquez,Antigua Guatemala,Hombre,7,5,Población ocupada
Sacatepéquez,Antigua Guatemala,Hombre,8,376,
Sacatepéquez,Antigua Guatemala,Hombre,8,7,Población ocupada
Sacatepéquez,Antigua Guatemala,Hombre,9,370,
Sacatepéquez,Antigua Guatemala,Hombre,9,7,Población ocupada
Sacatepéquez,Antigua Guatemala,Hombre,10,431,
Sacatepéquez,Antigua Guatemala,Hombre,10,6,Población ocupada
Sacatepéquez,Antigua Guatemala,Hombre,11,366,
Sacatepéquez,Antigua Guatemala,Hombre,11,14,Población ocupada
Sacatepéquez,Antigua Guatemala,Hombre,12,395,
Sacatepéquez,Antigua Guatemala,Hombre,12,11,Población ocupada
Sacatepéquez,Antigua Guatemala,Hombre,13,387,
Sacatepéquez,Antigua Guatemala,Hombre,13,26,Población ocupada
Sacatepéquez,Antigua Guatemala,Hombre,14,401,
Sacatepéquez,Antigua Guatemala,Hombre,14,31,Población ocupada
Sacatepéquez,Antigua Guatemala,Hombre,15,365,
Sacatepéquez,Antigua Guatemala,Hombre,15,74,Población ocupada
Sacatepéquez,Antigua Guatemala,Hombre,16,361,
Sacatepéquez,Antigua Guatemala,Hombre,16,88,Población ocupada
Sacatepéquez,Antigua Guatemala,Hombre,17,357,
Sacatepéquez,Antigua Guatemala,Hombre,17,136,Población ocupada
Sacatepéquez,Antigua Guatemala,Hombre,18,332,
Sacatepéquez,Antigua Guatemala,Hombre,18,185,Población ocupada
Sacatepéquez,Antigua Guatemala,Hombre,19,218,
Sacatepéquez,Antigua Guatemala,Hombre,19,215,Población ocupada
Sacatepéquez,Antigua Guatemala,Hombre,20,175,
