NOMBRE DEPARTAMENTO,NOMBRE MUNICIPIO,PCP6||Sexo,PCP7,Recuento de PCP1,PCP12||Autoidentificación
Quiché,Canillá,Hombre,0,70,Ladina (o)
Quiché,Canillá,Hombre,0,73,Maya
Quiché,Canillá,Hombre,1,1,Extranjera (o)
Quiché,Canillá,Hombre,1,64,Ladina (o)
Quiché,Canillá,Hombre,1,86,Maya
Quiché,Canillá,Hombre,2,75,Ladina (o)
Quiché,Canillá,Hombre,2,91,Maya
Quiché,Canillá,Hombre,3,69,Ladina (o)
Quiché,Canillá,Hombre,3,95,Maya
Quiché,Canillá,Hombre,4,1,Garífuna
Quiché,Canillá,Hombre,4,69,Ladina (o)
Quiché,Canillá,Hombre,4,77,Maya
Quiché,Canillá,Hombre,5,1,Afrodescendiente/Creole/Afromestizo
Quiché,Canillá,Hombre,5,92,Ladina (o)
Quiché,Canillá,Hombre,5,83,Maya
Quiché,Canillá,Hombre,6,2,Afrodescendiente/Creole/Afromestizo
Quiché,Canillá,Hombre,6,60,Ladina (o)
Quiché,Canillá,Hombre,6,82,Maya
Quiché,Canillá,Hombre,7,1,Garífuna
Quiché,Canillá,Hombre,7,78,Ladina (o)
Quiché,Canillá,Hombre,7,83,Maya
Quiché,Canillá,Hombre,8,1,Afrodescendiente/Creole/Afromestizo
Quiché,Canillá,Hombre,8,1,Extranjera (o)
Quiché,Canillá,Hombre,8,76,Ladina (o)
Quiché,Canillá,Hombre,8,67,Maya
Quiché,Canillá,Hombre,9,72,Ladina (o)
Quiché,Canillá,Hombre,9,60,Maya
Quiché,Canillá,Hombre,10,1,Afrodescendiente/Creole/Afromestizo
Quiché,Canillá,Hombre,10,1,Extranjera (o)
Quiché,Canillá,Hombre,10,72,Ladina (o)
Quiché,Canillá,Hombre,10,86,Maya
Quiché,Canillá,Hombre,11,1,Extranjera (o)
Quiché,Canillá,Hombre,11,57,Ladina (o)
Quiché,Canillá,Hombre,11,61,Maya
Quiché,Canillá,Hombre,12,1,Garífuna
Quiché,Canillá,Hombre,12,71,Ladina (o)
Quiché,Canillá,Hombre,12,63,Maya
Quiché,Canillá,Hombre,12,1,Xinka
Quiché,Canillá,Hombre,13,69,Ladina (o)
Quiché,Canillá,Hombre,13,80,Maya
Quiché,Canillá,Hombre,14,1,Afrodescendiente/Creole/Afromestizo
Quiché,Canillá,Hombre,14,65,Ladina (o)
Quiché,Canillá,Hombre,14,66,Maya
Quiché,Canillá,Hombre,15,72,Ladina (o)
Quiché,Canillá,Hombre,15,59,Maya
Quiché,Canillá,Hombre,16,1,Afrodescendiente/Creole/Afromestizo
Quiché,Canillá,Hombre,16,66,Ladina (o)
Quiché,Canillá,Hombre,16,63,Maya
Quiché,Canillá,Hombre,17,55,Ladina (o)
Quiché,Canillá,Hombre,17,60,Maya
Quiché,Canillá,Hombre,18,66,Ladina (o)
Quiché,Canillá,Hombre,18,63,Maya
Quiché,Canillá,Hombre,19,1,Garífuna
Quiché,Canillá,Hombre,19,57,Ladina (o)
Quiché,Canillá,Hombre,19,48,Maya
Quiché,Canillá,Hombre,20,1,Garífuna
Quiché,Canillá,Hombre,20,46,Ladina (o)
Quiché,Canillá,Hombre,20,44,Maya
Quiché,Canillá,Hombre,21,63,Ladina (o)
Quiché,Canillá,Hombre,21,45,Maya
Quiché,Canillá,Hombre,22,1,Afrodescendiente/Creole/Afromestizo
Quiché,Canillá,Hombre,22,55,Ladina (o)
Quiché,Canillá,Hombre,22,59,Maya
Quiché,Canillá,Hombre,22,1,Xinka
Quiché,Canillá,Hombre,23,57,Ladina (o)
Quiché,Canillá,Hombre,23,53,Maya
Quiché,Canillá,Hombre,24,65,Ladina (o)
Quiché,Canillá,Hombre,24,39,Maya
Quiché,Canillá,Hombre,25,67,Ladina (o)
Quiché,Canillá,Hombre,25,44,Maya
Quiché,Canillá,Hombre,26,50,Ladina (o)
Quiché,Canillá,Hombre,26,38,Maya
Quiché,Canillá,Hombre,27,48,Ladina (o)
Quiché,Canillá,Hombre,27,29,Maya
Quiché,Canillá,Hombre,28,52,Ladina (o)
Quiché,Canillá,Hombre,28,28,Maya
Quiché,Canillá,Hombre,29,39,Ladina (o)
Quiché,Canillá,Hombre,29,22,Maya
Quiché,Canillá,Hombre,30,45,Ladina (o)
Quiché,Canillá,Hombre,30,45,Maya
Quiché,Canillá,Hombre,31,42,Ladina (o)
Quiché,Canillá,Hombre,31,19,Maya
Quiché,Canillá,Hombre,32,36,Ladina (o)
Quiché,Canillá,Hombre,32,26,Maya
Quiché,Canillá,Hombre,33,23,Ladina (o)
Quiché,Canillá,Hombre,33,22,Maya
Quiché,Canillá,Hombre,34,27,Ladina (o)
Quiché,Canillá,Hombre,34,25,Maya
Quiché,Canillá,Hombre,35,1,Extranjera (o)
Quiché,Canillá,Hombre,35,25,Ladina (o)
Quiché,Canillá,Hombre,35,29,Maya
Quiché,Canillá,Hombre,36,26,Ladina (o)
Quiché,Canillá,Hombre,36,30,Maya
Quiché,Canillá,Hombre,37,32,Ladina (o)
Quiché,Canillá,Hombre,37,17,Maya
Quiché,Canillá,Hombre,38,39,Ladina (o)
Quiché,Canillá,Hombre,38,22,Maya
Quiché,Canillá,Hombre,39,30,Ladina (o)
Quiché,Canillá,Hombre,39,17,Maya
Quiché,Canillá,Hombre,40,27,Ladina (o)
Quiché,Canillá,Hombre,40,23,Maya
Quiché,Canillá,Hombre,41,19,Ladina (o)
Quiché,Canillá,Hombre,41,18,Maya
Quiché,Canillá,Hombre,42,31,Ladina (o)
Quiché,Canillá,Hombre,42,24,Maya
Quiché,Canillá,Hombre,43,1,Extranjera (o)
Quiché,Canillá,Hombre,43,32,Ladina (o)
Quiché,Canillá,Hombre,43,16,Maya
Quiché,Canillá,Hombre,44,30,Ladina (o)
Quiché,Canillá,Hombre,44,16,Maya
Quiché,Canillá,Hombre,45,33,Ladina (o)
Quiché,Canillá,Hombre,45,26,Maya
Quiché,Canillá,Hombre,46,26,Ladina (o)
Quiché,Canillá,Hombre,46,11,Maya
Quiché,Canillá,Hombre,47,25,Ladina (o)
Quiché,Canillá,Hombre,47,9,Maya
Quiché,Canillá,Hombre,48,33,Ladina (o)
Quiché,Canillá,Hombre,48,14,Maya
Quiché,Canillá,Hombre,49,18,Ladina (o)
Quiché,Canillá,Hombre,49,14,Maya
Quiché,Canillá,Hombre,50,25,Ladina (o)
Quiché,Canillá,Hombre,50,24,Maya
Quiché,Canillá,Hombre,51,1,Afrodescendiente/Creole/Afromestizo
Quiché,Canillá,Hombre,51,20,Ladina (o)
Quiché,Canillá,Hombre,51,15,Maya
Quiché,Canillá,Hombre,52,20,Ladina (o)
Quiché,Canillá,Hombre,52,15,Maya
Quiché,Canillá,Hombre,53,15,Ladina (o)
Quiché,Canillá,Hombre,53,7,Maya
Quiché,Canillá,Hombre,54,28,Ladina (o)
Quiché,Canillá,Hombre,54,9,Maya
Quiché,Canillá,Hombre,55,1,Afrodescendiente/Creole/Afromestizo
Quiché,Canillá,Hombre,55,31,Ladina (o)
Quiché,Canillá,Hombre,55,14,Maya
Quiché,Canillá,Hombre,56,1,Extranjera (o)
Quiché,Canillá,Hombre,56,32,Ladina (o)
Quiché,Canillá,Hombre,56,17,Maya
Quiché,Canillá,Hombre,57,25,Ladina (o)
Quiché,Canillá,Hombre,57,12,Maya
Quiché,Canillá,Hombre,58,30,Ladina (o)
Quiché,Canillá,Hombre,58,10,Maya
Quiché,Canillá,Hombre,59,1,Afrodescendiente/Creole/Afromestizo
Quiché,Canillá,Hombre,59,22,Ladina (o)
Quiché,Canillá,Hombre,59,15,Maya
Quiché,Canillá,Hombre,60,26,Ladina (o)
Quiché,Canillá,Hombre,60,17,Maya
Quiché,Canillá,Hombre,61,18,Ladina (o)
Quiché,Canillá,Hombre,61,7,Maya
Quiché,Canillá,Hombre,62,22,Ladina (o)
Quiché,Canillá,Hombre,62,10,Maya
Quiché,Canillá,Hombre,63,23,Ladina (o)
Quiché,Canillá,Hombre,63,4,Maya
Quiché,Canillá,Hombre,64,25,Ladina (o)
Quiché,Canillá,Hombre,64,14,Maya
Quiché,Canillá,Hombre,65,29,Ladina (o)
Quiché,Canillá,Hombre,65,15,Maya
Quiché,Canillá,Hombre,66,18,Ladina (o)
Quiché,Canillá,Hombre,66,14,Maya
Quiché,Canillá,Hombre,67,19,Ladina (o)
Quiché,Canillá,Hombre,67,7,Maya
Quiché,Canillá,Hombre,68,19,Ladina (o)
Quiché,Canillá,Hombre,68,11,Maya
Quiché,Canillá,Hombre,69,1,Garífuna
Quiché,Canillá,Hombre,69,16,Ladina (o)
Quiché,Canillá,Hombre,69,7,Maya
Quiché,Canillá,Hombre,70,22,Ladina (o)
Quiché,Canillá,Hombre,70,15,Maya
Quiché,Canillá,Hombre,71,18,Ladina (o)
Quiché,Canillá,Hombre,71,3,Maya
Quiché,Canillá,Hombre,72,13,Ladina (o)
Quiché,Canillá,Hombre,72,7,Maya
Quiché,Canillá,Hombre,73,12,Ladina (o)
Quiché,Canillá,Hombre,73,6,Maya
Quiché,Canillá,Hombre,74,1,Garífuna
Quiché,Canillá,Hombre,74,14,Ladina (o)
Quiché,Canillá,Hombre,74,4,Maya
Quiché,Canillá,Hombre,75,14,Ladina (o)
Quiché,Canillá,Hombre,75,7,Maya
Quiché,Canillá,Hombre,76,13,Ladina (o)
Quiché,Canillá,Hombre,76,3,Maya
Quiché,Canillá,Hombre,77,7,Ladina (o)
Quiché,Canillá,Hombre,77,3,Maya
Quiché,Canillá,Hombre,78,1,Garífuna
Quiché,Canillá,Hombre,78,9,Ladina (o)
Quiché,Canillá,Hombre,78,5,Maya
Quiché,Canillá,Hombre,79,6,Ladina (o)
