NOMBRE DEPARTAMENTO,NOMBRE MUNICIPIO,PCP6||Sexo,PCP7,PEA||Población económicamente activa,Recuento de PCP1
Sololá,Concepción,Hombre,0,,68
Sololá,Concepción,Hombre,1,,89
Sololá,Concepción,Hombre,2,,68
Sololá,Concepción,Hombre,3,,59
Sololá,Concepción,Hombre,4,,103
Sololá,Concepción,Hombre,5,,86
Sololá,Concepción,Hombre,6,,102
Sololá,Concepción,Hombre,7,,93
Sololá,Concepción,Hombre,8,,99
Sololá,Concepción,Hombre,8,Población económicamente activa,1
Sololá,Concepción,Hombre,9,,97
Sololá,Concepción,Hombre,9,Población económicamente activa,1
Sololá,Concepción,Hombre,10,,124
Sololá,Concepción,Hombre,10,Población económicamente activa,2
Sololá,Concepción,Hombre,11,,79
Sololá,Concepción,Hombre,11,Población económicamente activa,4
Sololá,Concepción,Hombre,12,,100
Sololá,Concepción,Hombre,12,Población económicamente activa,11
Sololá,Concepción,Hombre,13,,64
Sololá,Concepción,Hombre,13,Población económicamente activa,23
Sololá,Concepción,Hombre,14,,51
Sololá,Concepción,Hombre,14,Población económicamente activa,36
Sololá,Concepción,Hombre,15,,34
Sololá,Concepción,Hombre,15,Población económicamente activa,40
Sololá,Concepción,Hombre,16,,35
Sololá,Concepción,Hombre,16,Población económicamente activa,45
Sololá,Concepción,Hombre,17,,28
Sololá,Concepción,Hombre,17,Población económicamente activa,44
Sololá,Concepción,Hombre,18,,34
Sololá,Concepción,Hombre,18,Población económicamente activa,50
Sololá,Concepción,Hombre,19,,13
Sololá,Concepción,Hombre,19,Población económicamente activa,53
Sololá,Concepción,Hombre,20,,22
Sololá,Concepción,Hombre,20,Población económicamente activa,51
Sololá,Concepción,Hombre,21,,9
Sololá,Concepción,Hombre,21,Población económicamente activa,42
Sololá,Concepción,Hombre,22,,7
Sololá,Concepción,Hombre,22,Población económicamente activa,49
Sololá,Concepción,Hombre,23,,9
Sololá,Concepción,Hombre,23,Población económicamente activa,53
Sololá,Concepción,Hombre,24,,7
Sololá,Concepción,Hombre,24,Población económicamente activa,48
Sololá,Concepción,Hombre,25,,9
Sololá,Concepción,Hombre,25,Población económicamente activa,51
Sololá,Concepción,Hombre,26,,4
Sololá,Concepción,Hombre,26,Población económicamente activa,59
Sololá,Concepción,Hombre,27,,2
Sololá,Concepción,Hombre,27,Población económicamente activa,28
Sololá,Concepción,Hombre,28,,10
Sololá,Concepción,Hombre,28,Población económicamente activa,46
Sololá,Concepción,Hombre,29,,6
Sololá,Concepción,Hombre,29,Población económicamente activa,30
Sololá,Concepción,Hombre,30,,7
Sololá,Concepción,Hombre,30,Población económicamente activa,72
Sololá,Concepción,Hombre,31,,1
Sololá,Concepción,Hombre,31,Población económicamente activa,36
Sololá,Concepción,Hombre,32,,3
Sololá,Concepción,Hombre,32,Población económicamente activa,37
Sololá,Concepción,Hombre,33,,1
Sololá,Concepción,Hombre,33,Población económicamente activa,44
Sololá,Concepción,Hombre,34,Población económicamente activa,30
Sololá,Concepción,Hombre,35,,1
Sololá,Concepción,Hombre,35,Población económicamente activa,31
Sololá,Concepción,Hombre,36,,1
Sololá,Concepción,Hombre,36,Población económicamente activa,22
Sololá,Concepción,Hombre,37,,5
Sololá,Concepción,Hombre,37,Población económicamente activa,27
Sololá,Concepción,Hombre,38,,3
Sololá,Concepción,Hombre,38,Población económicamente activa,30
Sololá,Concepción,Hombre,39,,2
Sololá,Concepción,Hombre,39,Población económicamente activa,24
Sololá,Concepción,Hombre,40,,2
Sololá,Concepción,Hombre,40,Población económicamente activa,32
Sololá,Concepción,Hombre,41,Población económicamente activa,21
Sololá,Concepción,Hombre,42,,4
