NOMBRE DEPARTAMENTO,NOMBRE MUNICIPIO,PCP6||Sexo,PCP7,Recuento de PCP1,PCP12||Autoidentificación
Suchitepéquez,Chicacao,Hombre,0,1,Afrodescendiente/Creole/Afromestizo
Suchitepéquez,Chicacao,Hombre,0,2,Garífuna
Suchitepéquez,Chicacao,Hombre,0,261,Ladina (o)
Suchitepéquez,Chicacao,Hombre,0,495,Maya
Suchitepéquez,Chicacao,Hombre,1,2,Afrodescendiente/Creole/Afromestizo
Suchitepéquez,Chicacao,Hombre,1,1,Garífuna
Suchitepéquez,Chicacao,Hombre,1,233,Ladina (o)
Suchitepéquez,Chicacao,Hombre,1,518,Maya
Suchitepéquez,Chicacao,Hombre,1,1,Xinka
Suchitepéquez,Chicacao,Hombre,2,2,Afrodescendiente/Creole/Afromestizo
Suchitepéquez,Chicacao,Hombre,2,1,Garífuna
Suchitepéquez,Chicacao,Hombre,2,258,Ladina (o)
Suchitepéquez,Chicacao,Hombre,2,519,Maya
Suchitepéquez,Chicacao,Hombre,3,1,Afrodescendiente/Creole/Afromestizo
Suchitepéquez,Chicacao,Hombre,3,268,Ladina (o)
Suchitepéquez,Chicacao,Hombre,3,539,Maya
Suchitepéquez,Chicacao,Hombre,3,1,Xinka
Suchitepéquez,Chicacao,Hombre,4,3,Afrodescendiente/Creole/Afromestizo
Suchitepéquez,Chicacao,Hombre,4,1,Garífuna
Suchitepéquez,Chicacao,Hombre,4,255,Ladina (o)
Suchitepéquez,Chicacao,Hombre,4,524,Maya
Suchitepéquez,Chicacao,Hombre,5,2,Afrodescendiente/Creole/Afromestizo
Suchitepéquez,Chicacao,Hombre,5,3,Garífuna
Suchitepéquez,Chicacao,Hombre,5,252,Ladina (o)
Suchitepéquez,Chicacao,Hombre,5,589,Maya
Suchitepéquez,Chicacao,Hombre,6,1,Afrodescendiente/Creole/Afromestizo
Suchitepéquez,Chicacao,Hombre,6,2,Garífuna
Suchitepéquez,Chicacao,Hombre,6,247,Ladina (o)
Suchitepéquez,Chicacao,Hombre,6,543,Maya
Suchitepéquez,Chicacao,Hombre,7,3,Afrodescendiente/Creole/Afromestizo
Suchitepéquez,Chicacao,Hombre,7,268,Ladina (o)
Suchitepéquez,Chicacao,Hombre,7,557,Maya
Suchitepéquez,Chicacao,Hombre,7,1,Xinka
Suchitepéquez,Chicacao,Hombre,8,1,Afrodescendiente/Creole/Afromestizo
Suchitepéquez,Chicacao,Hombre,8,1,Extranjera (o)
Suchitepéquez,Chicacao,Hombre,8,2,Garífuna
Suchitepéquez,Chicacao,Hombre,8,252,Ladina (o)
Suchitepéquez,Chicacao,Hombre,8,509,Maya
Suchitepéquez,Chicacao,Hombre,8,1,Xinka
Suchitepéquez,Chicacao,Hombre,9,241,Ladina (o)
Suchitepéquez,Chicacao,Hombre,9,525,Maya
Suchitepéquez,Chicacao,Hombre,10,1,Afrodescendiente/Creole/Afromestizo
