NOMBRE DEPARTAMENTO,NOMBRE MUNICIPIO,PCP6||Sexo,PCP7,Recuento de PCP1,PCP12||Autoidentificación
Alta Verapaz,Chahal,Hombre,0,2,Afrodescendiente/Creole/Afromestizo
Alta Verapaz,Chahal,Hombre,0,25,Ladina (o)
Alta Verapaz,Chahal,Hombre,0,317,Maya
Alta Verapaz,Chahal,Hombre,1,14,Ladina (o)
Alta Verapaz,Chahal,Hombre,1,350,Maya
Alta Verapaz,Chahal,Hombre,2,16,Ladina (o)
Alta Verapaz,Chahal,Hombre,2,321,Maya
Alta Verapaz,Chahal,Hombre,3,13,Ladina (o)
Alta Verapaz,Chahal,Hombre,3,409,Maya
Alta Verapaz,Chahal,Hombre,4,27,Ladina (o)
Alta Verapaz,Chahal,Hombre,4,346,Maya
Alta Verapaz,Chahal,Hombre,5,1,Afrodescendiente/Creole/Afromestizo
Alta Verapaz,Chahal,Hombre,5,22,Ladina (o)
Alta Verapaz,Chahal,Hombre,5,348,Maya
Alta Verapaz,Chahal,Hombre,6,1,Garífuna
Alta Verapaz,Chahal,Hombre,6,29,Ladina (o)
Alta Verapaz,Chahal,Hombre,6,373,Maya
Alta Verapaz,Chahal,Hombre,7,17,Ladina (o)
Alta Verapaz,Chahal,Hombre,7,328,Maya
Alta Verapaz,Chahal,Hombre,8,14,Ladina (o)
Alta Verapaz,Chahal,Hombre,8,342,Maya
Alta Verapaz,Chahal,Hombre,9,2,Afrodescendiente/Creole/Afromestizo
Alta Verapaz,Chahal,Hombre,9,18,Ladina (o)
Alta Verapaz,Chahal,Hombre,9,355,Maya
Alta Verapaz,Chahal,Hombre,10,12,Ladina (o)
Alta Verapaz,Chahal,Hombre,10,330,Maya
Alta Verapaz,Chahal,Hombre,11,18,Ladina (o)
Alta Verapaz,Chahal,Hombre,11,266,Maya
Alta Verapaz,Chahal,Hombre,12,14,Ladina (o)
Alta Verapaz,Chahal,Hombre,12,255,Maya
Alta Verapaz,Chahal,Hombre,13,15,Ladina (o)
Alta Verapaz,Chahal,Hombre,13,300,Maya
Alta Verapaz,Chahal,Hombre,14,2,Afrodescendiente/Creole/Afromestizo
Alta Verapaz,Chahal,Hombre,14,18,Ladina (o)
Alta Verapaz,Chahal,Hombre,14,265,Maya
Alta Verapaz,Chahal,Hombre,15,12,Ladina (o)
Alta Verapaz,Chahal,Hombre,15,270,Maya
Alta Verapaz,Chahal,Hombre,16,1,Afrodescendiente/Creole/Afromestizo
Alta Verapaz,Chahal,Hombre,16,16,Ladina (o)
Alta Verapaz,Chahal,Hombre,16,320,Maya
Alta Verapaz,Chahal,Hombre,17,1,Afrodescendiente/Creole/Afromestizo
Alta Verapaz,Chahal,Hombre,17,14,Ladina (o)
Alta Verapaz,Chahal,Hombre,17,334,Maya
Alta Verapaz,Chahal,Hombre,18,1,Afrodescendiente/Creole/Afromestizo
Alta Verapaz,Chahal,Hombre,18,28,Ladina (o)
Alta Verapaz,Chahal,Hombre,18,335,Maya
Alta Verapaz,Chahal,Hombre,19,1,Garífuna
Alta Verapaz,Chahal,Hombre,19,8,Ladina (o)
Alta Verapaz,Chahal,Hombre,19,251,Maya
Alta Verapaz,Chahal,Hombre,20,1,Garífuna
