NOMBRE DEPARTAMENTO,NOMBRE MUNICIPIO,PCP6||Sexo,PCP7,PCP16_A||Dificultad Vista,Recuento de PCP1
Huehuetenango,Aguacatán,Hombre,0,,562
Huehuetenango,Aguacatán,Hombre,1,,595
Huehuetenango,Aguacatán,Hombre,2,,588
Huehuetenango,Aguacatán,Hombre,3,,596
Huehuetenango,Aguacatán,Hombre,4,No declarado,22
Huehuetenango,Aguacatán,Hombre,4,"No, sin dificultad",584
Huehuetenango,Aguacatán,Hombre,4,"Sí, con algo de dificultad",2
Huehuetenango,Aguacatán,Hombre,5,No declarado,5
Huehuetenango,Aguacatán,Hombre,5,"No, sin dificultad",564
Huehuetenango,Aguacatán,Hombre,5,"Sí, con algo de dificultad",3
Huehuetenango,Aguacatán,Hombre,5,"Sí, con mucha dificultad",1
Huehuetenango,Aguacatán,Hombre,6,No declarado,6
Huehuetenango,Aguacatán,Hombre,6,"No, sin dificultad",584
Huehuetenango,Aguacatán,Hombre,6,"Sí, con algo de dificultad",3
Huehuetenango,Aguacatán,Hombre,6,"Sí, con mucha dificultad",2
Huehuetenango,Aguacatán,Hombre,7,No declarado,3
Huehuetenango,Aguacatán,Hombre,7,"No, sin dificultad",591
Huehuetenango,Aguacatán,Hombre,7,"Sí, con algo de dificultad",4
Huehuetenango,Aguacatán,Hombre,8,No declarado,3
Huehuetenango,Aguacatán,Hombre,8,"No, sin dificultad",551
Huehuetenango,Aguacatán,Hombre,8,"Sí, con algo de dificultad",6
Huehuetenango,Aguacatán,Hombre,8,"Sí, con mucha dificultad",1
Huehuetenango,Aguacatán,Hombre,9,No declarado,6
Huehuetenango,Aguacatán,Hombre,9,No puede,1
Huehuetenango,Aguacatán,Hombre,9,"No, sin dificultad",558
Huehuetenango,Aguacatán,Hombre,9,"Sí, con algo de dificultad",7
Huehuetenango,Aguacatán,Hombre,9,"Sí, con mucha dificultad",2
Huehuetenango,Aguacatán,Hombre,10,No declarado,8
Huehuetenango,Aguacatán,Hombre,10,"No, sin dificultad",537
Huehuetenango,Aguacatán,Hombre,10,"Sí, con algo de dificultad",7
Huehuetenango,Aguacatán,Hombre,10,"Sí, con mucha dificultad",1
Huehuetenango,Aguacatán,Hombre,11,No declarado,2
Huehuetenango,Aguacatán,Hombre,11,"No, sin dificultad",568
Huehuetenango,Aguacatán,Hombre,11,"Sí, con algo de dificultad",10
Huehuetenango,Aguacatán,Hombre,11,"Sí, con mucha dificultad",2
Huehuetenango,Aguacatán,Hombre,12,No declarado,1
Huehuetenango,Aguacatán,Hombre,12,No puede,1
Huehuetenango,Aguacatán,Hombre,12,"No, sin dificultad",567
Huehuetenango,Aguacatán,Hombre,12,"Sí, con algo de dificultad",7
Huehuetenango,Aguacatán,Hombre,12,"Sí, con mucha dificultad",1
Huehuetenango,Aguacatán,Hombre,13,No declarado,2
Huehuetenango,Aguacatán,Hombre,13,No puede,1
Huehuetenango,Aguacatán,Hombre,13,"No, sin dificultad",562
Huehuetenango,Aguacatán,Hombre,13,"Sí, con algo de dificultad",10
Huehuetenango,Aguacatán,Hombre,13,"Sí, con mucha dificultad",1
Huehuetenango,Aguacatán,Hombre,14,No declarado,3
Huehuetenango,Aguacatán,Hombre,14,No puede,3
Huehuetenango,Aguacatán,Hombre,14,"No, sin dificultad",586
Huehuetenango,Aguacatán,Hombre,14,"Sí, con algo de dificultad",8
Huehuetenango,Aguacatán,Hombre,14,"Sí, con mucha dificultad",3
Huehuetenango,Aguacatán,Hombre,15,No declarado,3
Huehuetenango,Aguacatán,Hombre,15,"No, sin dificultad",576
Huehuetenango,Aguacatán,Hombre,15,"Sí, con algo de dificultad",7
Huehuetenango,Aguacatán,Hombre,15,"Sí, con mucha dificultad",1
Huehuetenango,Aguacatán,Hombre,16,No declarado,3
Huehuetenango,Aguacatán,Hombre,16,"No, sin dificultad",588
Huehuetenango,Aguacatán,Hombre,16,"Sí, con algo de dificultad",7
Huehuetenango,Aguacatán,Hombre,17,No declarado,3
Huehuetenango,Aguacatán,Hombre,17,"No, sin dificultad",503
Huehuetenango,Aguacatán,Hombre,17,"Sí, con algo de dificultad",7
Huehuetenango,Aguacatán,Hombre,18,No declarado,1
Huehuetenango,Aguacatán,Hombre,18,No puede,1
Huehuetenango,Aguacatán,Hombre,18,"No, sin dificultad",513
Huehuetenango,Aguacatán,Hombre,18,"Sí, con algo de dificultad",4
Huehuetenango,Aguacatán,Hombre,18,"Sí, con mucha dificultad",2
Huehuetenango,Aguacatán,Hombre,19,No declarado,3
Huehuetenango,Aguacatán,Hombre,19,"No, sin dificultad",418
Huehuetenango,Aguacatán,Hombre,19,"Sí, con algo de dificultad",8
Huehuetenango,Aguacatán,Hombre,19,"Sí, con mucha dificultad",2
Huehuetenango,Aguacatán,Hombre,20,No declarado,3
Huehuetenango,Aguacatán,Hombre,20,"No, sin dificultad",400
Huehuetenango,Aguacatán,Hombre,20,"Sí, con algo de dificultad",7
Huehuetenango,Aguacatán,Hombre,20,"Sí, con mucha dificultad",6
Huehuetenango,Aguacatán,Hombre,21,No declarado,1
Huehuetenango,Aguacatán,Hombre,21,"No, sin dificultad",367
Huehuetenango,Aguacatán,Hombre,21,"Sí, con algo de dificultad",6
Huehuetenango,Aguacatán,Hombre,21,"Sí, con mucha dificultad",1
Huehuetenango,Aguacatán,Hombre,22,"No, sin dificultad",414
Huehuetenango,Aguacatán,Hombre,22,"Sí, con algo de dificultad",11
Huehuetenango,Aguacatán,Hombre,22,"Sí, con mucha dificultad",1
Huehuetenango,Aguacatán,Hombre,23,No declarado,3
Huehuetenango,Aguacatán,Hombre,23,"No, sin dificultad",391
Huehuetenango,Aguacatán,Hombre,23,"Sí, con algo de dificultad",12
Huehuetenango,Aguacatán,Hombre,24,No puede,1
Huehuetenango,Aguacatán,Hombre,24,"No, sin dificultad",394
Huehuetenango,Aguacatán,Hombre,24,"Sí, con algo de dificultad",8
Huehuetenango,Aguacatán,Hombre,25,No declarado,1
Huehuetenango,Aguacatán,Hombre,25,"No, sin dificultad",350
Huehuetenango,Aguacatán,Hombre,25,"Sí, con algo de dificultad",7
Huehuetenango,Aguacatán,Hombre,25,"Sí, con mucha dificultad",1
Huehuetenango,Aguacatán,Hombre,26,No declarado,3
Huehuetenango,Aguacatán,Hombre,26,No puede,1
Huehuetenango,Aguacatán,Hombre,26,"No, sin dificultad",327
Huehuetenango,Aguacatán,Hombre,26,"Sí, con algo de dificultad",15
Huehuetenango,Aguacatán,Hombre,26,"Sí, con mucha dificultad",1
Huehuetenango,Aguacatán,Hombre,27,No declarado,2
Huehuetenango,Aguacatán,Hombre,27,No puede,1
Huehuetenango,Aguacatán,Hombre,27,"No, sin dificultad",306
Huehuetenango,Aguacatán,Hombre,27,"Sí, con algo de dificultad",7
Huehuetenango,Aguacatán,Hombre,27,"Sí, con mucha dificultad",2
Huehuetenango,Aguacatán,Hombre,28,No declarado,3
Huehuetenango,Aguacatán,Hombre,28,"No, sin dificultad",287
Huehuetenango,Aguacatán,Hombre,28,"Sí, con algo de dificultad",11
Huehuetenango,Aguacatán,Hombre,28,"Sí, con mucha dificultad",1
Huehuetenango,Aguacatán,Hombre,29,No declarado,1
Huehuetenango,Aguacatán,Hombre,29,"No, sin dificultad",259
Huehuetenango,Aguacatán,Hombre,29,"Sí, con algo de dificultad",11
Huehuetenango,Aguacatán,Hombre,29,"Sí, con mucha dificultad",1
Huehuetenango,Aguacatán,Hombre,30,No declarado,4
Huehuetenango,Aguacatán,Hombre,30,"No, sin dificultad",248
Huehuetenango,Aguacatán,Hombre,30,"Sí, con algo de dificultad",9
Huehuetenango,Aguacatán,Hombre,30,"Sí, con mucha dificultad",2
Huehuetenango,Aguacatán,Hombre,31,"No, sin dificultad",223
Huehuetenango,Aguacatán,Hombre,31,"Sí, con algo de dificultad",8
Huehuetenango,Aguacatán,Hombre,32,No declarado,3
Huehuetenango,Aguacatán,Hombre,32,"No, sin dificultad",214
Huehuetenango,Aguacatán,Hombre,32,"Sí, con algo de dificultad",7
Huehuetenango,Aguacatán,Hombre,33,No declarado,3
Huehuetenango,Aguacatán,Hombre,33,"No, sin dificultad",188
Huehuetenango,Aguacatán,Hombre,33,"Sí, con algo de dificultad",4
Huehuetenango,Aguacatán,Hombre,33,"Sí, con mucha dificultad",1
Huehuetenango,Aguacatán,Hombre,34,No declarado,1
Huehuetenango,Aguacatán,Hombre,34,"No, sin dificultad",190
Huehuetenango,Aguacatán,Hombre,34,"Sí, con algo de dificultad",13
Huehuetenango,Aguacatán,Hombre,34,"Sí, con mucha dificultad",1
Huehuetenango,Aguacatán,Hombre,35,No declarado,1
Huehuetenango,Aguacatán,Hombre,35,"No, sin dificultad",180
Huehuetenango,Aguacatán,Hombre,35,"Sí, con algo de dificultad",7
Huehuetenango,Aguacatán,Hombre,35,"Sí, con mucha dificultad",1
Huehuetenango,Aguacatán,Hombre,36,No declarado,1
Huehuetenango,Aguacatán,Hombre,36,"No, sin dificultad",220
Huehuetenango,Aguacatán,Hombre,36,"Sí, con algo de dificultad",9
Huehuetenango,Aguacatán,Hombre,36,"Sí, con mucha dificultad",2
Huehuetenango,Aguacatán,Hombre,37,"No, sin dificultad",199
Huehuetenango,Aguacatán,Hombre,37,"Sí, con algo de dificultad",9
Huehuetenango,Aguacatán,Hombre,37,"Sí, con mucha dificultad",1
Huehuetenango,Aguacatán,Hombre,38,No declarado,1
Huehuetenango,Aguacatán,Hombre,38,"No, sin dificultad",200
Huehuetenango,Aguacatán,Hombre,38,"Sí, con algo de dificultad",8
Huehuetenango,Aguacatán,Hombre,39,No declarado,1
Huehuetenango,Aguacatán,Hombre,39,No puede,1
Huehuetenango,Aguacatán,Hombre,39,"No, sin dificultad",195
Huehuetenango,Aguacatán,Hombre,39,"Sí, con algo de dificultad",5
Huehuetenango,Aguacatán,Hombre,39,"Sí, con mucha dificultad",1
Huehuetenango,Aguacatán,Hombre,40,"No, sin dificultad",205
Huehuetenango,Aguacatán,Hombre,40,"Sí, con algo de dificultad",11
Huehuetenango,Aguacatán,Hombre,41,No declarado,1
Huehuetenango,Aguacatán,Hombre,41,"No, sin dificultad",200
Huehuetenango,Aguacatán,Hombre,41,"Sí, con algo de dificultad",6
Huehuetenango,Aguacatán,Hombre,41,"Sí, con mucha dificultad",1
Huehuetenango,Aguacatán,Hombre,42,"No, sin dificultad",166
Huehuetenango,Aguacatán,Hombre,42,"Sí, con algo de dificultad",8
Huehuetenango,Aguacatán,Hombre,42,"Sí, con mucha dificultad",1
Huehuetenango,Aguacatán,Hombre,43,"No, sin dificultad",167
Huehuetenango,Aguacatán,Hombre,43,"Sí, con algo de dificultad",9
Huehuetenango,Aguacatán,Hombre,43,"Sí, con mucha dificultad",2
Huehuetenango,Aguacatán,Hombre,44,"No, sin dificultad",162
Huehuetenango,Aguacatán,Hombre,44,"Sí, con algo de dificultad",5
Huehuetenango,Aguacatán,Hombre,44,"Sí, con mucha dificultad",2
Huehuetenango,Aguacatán,Hombre,45,No declarado,1
Huehuetenango,Aguacatán,Hombre,45,"No, sin dificultad",176
Huehuetenango,Aguacatán,Hombre,45,"Sí, con algo de dificultad",11
Huehuetenango,Aguacatán,Hombre,45,"Sí, con mucha dificultad",1
Huehuetenango,Aguacatán,Hombre,46,No puede,1
Huehuetenango,Aguacatán,Hombre,46,"No, sin dificultad",165
Huehuetenango,Aguacatán,Hombre,46,"Sí, con algo de dificultad",9
Huehuetenango,Aguacatán,Hombre,46,"Sí, con mucha dificultad",1
Huehuetenango,Aguacatán,Hombre,47,"No, sin dificultad",155
Huehuetenango,Aguacatán,Hombre,47,"Sí, con algo de dificultad",14
Huehuetenango,Aguacatán,Hombre,47,"Sí, con mucha dificultad",3
Huehuetenango,Aguacatán,Hombre,48,No puede,1
Huehuetenango,Aguacatán,Hombre,48,"No, sin dificultad",170
Huehuetenango,Aguacatán,Hombre,48,"Sí, con algo de dificultad",7
Huehuetenango,Aguacatán,Hombre,48,"Sí, con mucha dificultad",1
Huehuetenango,Aguacatán,Hombre,49,"No, sin dificultad",153
Huehuetenango,Aguacatán,Hombre,49,"Sí, con algo de dificultad",10
Huehuetenango,Aguacatán,Hombre,50,No declarado,1
Huehuetenango,Aguacatán,Hombre,50,No puede,1
Huehuetenango,Aguacatán,Hombre,50,"No, sin dificultad",146
Huehuetenango,Aguacatán,Hombre,50,"Sí, con algo de dificultad",17
Huehuetenango,Aguacatán,Hombre,50,"Sí, con mucha dificultad",1
Huehuetenango,Aguacatán,Hombre,51,No declarado,2
Huehuetenango,Aguacatán,Hombre,51,"No, sin dificultad",130
Huehuetenango,Aguacatán,Hombre,51,"Sí, con algo de dificultad",12
Huehuetenango,Aguacatán,Hombre,51,"Sí, con mucha dificultad",1
Huehuetenango,Aguacatán,Hombre,52,"No, sin dificultad",133
Huehuetenango,Aguacatán,Hombre,52,"Sí, con algo de dificultad",27
Huehuetenango,Aguacatán,Hombre,52,"Sí, con mucha dificultad",2
Huehuetenango,Aguacatán,Hombre,53,No puede,1
Huehuetenango,Aguacatán,Hombre,53,"No, sin dificultad",120
Huehuetenango,Aguacatán,Hombre,53,"Sí, con algo de dificultad",18
Huehuetenango,Aguacatán,Hombre,53,"Sí, con mucha dificultad",1
Huehuetenango,Aguacatán,Hombre,54,"No, sin dificultad",93
Huehuetenango,Aguacatán,Hombre,54,"Sí, con algo de dificultad",25
Huehuetenango,Aguacatán,Hombre,54,"Sí, con mucha dificultad",1
Huehuetenango,Aguacatán,Hombre,55,"No, sin dificultad",103
Huehuetenango,Aguacatán,Hombre,55,"Sí, con algo de dificultad",22
Huehuetenango,Aguacatán,Hombre,56,No declarado,1
Huehuetenango,Aguacatán,Hombre,56,"No, sin dificultad",92
Huehuetenango,Aguacatán,Hombre,56,"Sí, con algo de dificultad",27
Huehuetenango,Aguacatán,Hombre,56,"Sí, con mucha dificultad",3
Huehuetenango,Aguacatán,Hombre,57,No declarado,1
Huehuetenango,Aguacatán,Hombre,57,"No, sin dificultad",112
Huehuetenango,Aguacatán,Hombre,57,"Sí, con algo de dificultad",23
Huehuetenango,Aguacatán,Hombre,57,"Sí, con mucha dificultad",2
Huehuetenango,Aguacatán,Hombre,58,"No, sin dificultad",111
Huehuetenango,Aguacatán,Hombre,58,"Sí, con algo de dificultad",21
Huehuetenango,Aguacatán,Hombre,58,"Sí, con mucha dificultad",2
Huehuetenango,Aguacatán,Hombre,59,No puede,1
Huehuetenango,Aguacatán,Hombre,59,"No, sin dificultad",114
Huehuetenango,Aguacatán,Hombre,59,"Sí, con algo de dificultad",24
Huehuetenango,Aguacatán,Hombre,59,"Sí, con mucha dificultad",5
Huehuetenango,Aguacatán,Hombre,60,No declarado,1
Huehuetenango,Aguacatán,Hombre,60,"No, sin dificultad",118
Huehuetenango,Aguacatán,Hombre,60,"Sí, con algo de dificultad",27
Huehuetenango,Aguacatán,Hombre,60,"Sí, con mucha dificultad",5
Huehuetenango,Aguacatán,Hombre,61,"No, sin dificultad",82
Huehuetenango,Aguacatán,Hombre,61,"Sí, con algo de dificultad",16
Huehuetenango,Aguacatán,Hombre,61,"Sí, con mucha dificultad",1
Huehuetenango,Aguacatán,Hombre,62,No declarado,3
Huehuetenango,Aguacatán,Hombre,62,"No, sin dificultad",75
Huehuetenango,Aguacatán,Hombre,62,"Sí, con algo de dificultad",20
Huehuetenango,Aguacatán,Hombre,62,"Sí, con mucha dificultad",3
Huehuetenango,Aguacatán,Hombre,63,"No, sin dificultad",78
Huehuetenango,Aguacatán,Hombre,63,"Sí, con algo de dificultad",35
Huehuetenango,Aguacatán,Hombre,63,"Sí, con mucha dificultad",5
Huehuetenango,Aguacatán,Hombre,64,"No, sin dificultad",97
Huehuetenango,Aguacatán,Hombre,64,"Sí, con algo de dificultad",16
Huehuetenango,Aguacatán,Hombre,64,"Sí, con mucha dificultad",2
Huehuetenango,Aguacatán,Hombre,65,No declarado,3
Huehuetenango,Aguacatán,Hombre,65,No puede,1
Huehuetenango,Aguacatán,Hombre,65,"No, sin dificultad",80
Huehuetenango,Aguacatán,Hombre,65,"Sí, con algo de dificultad",16
Huehuetenango,Aguacatán,Hombre,65,"Sí, con mucha dificultad",6
Huehuetenango,Aguacatán,Hombre,66,"No, sin dificultad",55
Huehuetenango,Aguacatán,Hombre,66,"Sí, con algo de dificultad",27
Huehuetenango,Aguacatán,Hombre,66,"Sí, con mucha dificultad",1
Huehuetenango,Aguacatán,Hombre,67,"No, sin dificultad",67
Huehuetenango,Aguacatán,Hombre,67,"Sí, con algo de dificultad",23
Huehuetenango,Aguacatán,Hombre,67,"Sí, con mucha dificultad",4
Huehuetenango,Aguacatán,Hombre,68,No declarado,2
Huehuetenango,Aguacatán,Hombre,68,No puede,1
Huehuetenango,Aguacatán,Hombre,68,"No, sin dificultad",65
Huehuetenango,Aguacatán,Hombre,68,"Sí, con algo de dificultad",29
Huehuetenango,Aguacatán,Hombre,68,"Sí, con mucha dificultad",6
Huehuetenango,Aguacatán,Hombre,69,No declarado,5
Huehuetenango,Aguacatán,Hombre,69,"No, sin dificultad",64
Huehuetenango,Aguacatán,Hombre,69,"Sí, con algo de dificultad",30
Huehuetenango,Aguacatán,Hombre,69,"Sí, con mucha dificultad",3
Huehuetenango,Aguacatán,Hombre,70,No declarado,1
Huehuetenango,Aguacatán,Hombre,70,"No, sin dificultad",97
Huehuetenango,Aguacatán,Hombre,70,"Sí, con algo de dificultad",22
Huehuetenango,Aguacatán,Hombre,70,"Sí, con mucha dificultad",2
Huehuetenango,Aguacatán,Hombre,71,No puede,1
Huehuetenango,Aguacatán,Hombre,71,"No, sin dificultad",44
Huehuetenango,Aguacatán,Hombre,71,"Sí, con algo de dificultad",19
Huehuetenango,Aguacatán,Hombre,71,"Sí, con mucha dificultad",6
Huehuetenango,Aguacatán,Hombre,72,No declarado,1
Huehuetenango,Aguacatán,Hombre,72,No puede,2
Huehuetenango,Aguacatán,Hombre,72,"No, sin dificultad",51
Huehuetenango,Aguacatán,Hombre,72,"Sí, con algo de dificultad",25
Huehuetenango,Aguacatán,Hombre,72,"Sí, con mucha dificultad",5
Huehuetenango,Aguacatán,Hombre,73,"No, sin dificultad",43
Huehuetenango,Aguacatán,Hombre,73,"Sí, con algo de dificultad",27
Huehuetenango,Aguacatán,Hombre,73,"Sí, con mucha dificultad",8
Huehuetenango,Aguacatán,Hombre,74,"No, sin dificultad",56
Huehuetenango,Aguacatán,Hombre,74,"Sí, con algo de dificultad",18
Huehuetenango,Aguacatán,Hombre,74,"Sí, con mucha dificultad",4
Huehuetenango,Aguacatán,Hombre,75,No puede,1
Huehuetenango,Aguacatán,Hombre,75,"No, sin dificultad",32
Huehuetenango,Aguacatán,Hombre,75,"Sí, con algo de dificultad",20
Huehuetenango,Aguacatán,Hombre,75,"Sí, con mucha dificultad",4
Huehuetenango,Aguacatán,Hombre,76,No puede,1
Huehuetenango,Aguacatán,Hombre,76,"No, sin dificultad",31
Huehuetenango,Aguacatán,Hombre,76,"Sí, con algo de dificultad",15
Huehuetenango,Aguacatán,Hombre,76,"Sí, con mucha dificultad",1
Huehuetenango,Aguacatán,Hombre,77,"No, sin dificultad",29
Huehuetenango,Aguacatán,Hombre,77,"Sí, con algo de dificultad",20
Huehuetenango,Aguacatán,Hombre,77,"Sí, con mucha dificultad",3
Huehuetenango,Aguacatán,Hombre,78,No declarado,1
Huehuetenango,Aguacatán,Hombre,78,"No, sin dificultad",34
Huehuetenango,Aguacatán,Hombre,78,"Sí, con algo de dificultad",22
Huehuetenango,Aguacatán,Hombre,78,"Sí, con mucha dificultad",2
Huehuetenango,Aguacatán,Hombre,79,No declarado,1
Huehuetenango,Aguacatán,Hombre,79,No puede,1
Huehuetenango,Aguacatán,Hombre,79,"No, sin dificultad",30
Huehuetenango,Aguacatán,Hombre,79,"Sí, con algo de dificultad",19
Huehuetenango,Aguacatán,Hombre,79,"Sí, con mucha dificultad",4
Huehuetenango,Aguacatán,Hombre,80,"No, sin dificultad",30
Huehuetenango,Aguacatán,Hombre,80,"Sí, con algo de dificultad",19
Huehuetenango,Aguacatán,Hombre,80,"Sí, con mucha dificultad",8
Huehuetenango,Aguacatán,Hombre,81,No declarado,1
Huehuetenango,Aguacatán,Hombre,81,"No, sin dificultad",24
Huehuetenango,Aguacatán,Hombre,81,"Sí, con algo de dificultad",12
Huehuetenango,Aguacatán,Hombre,81,"Sí, con mucha dificultad",8
Huehuetenango,Aguacatán,Hombre,82,"No, sin dificultad",13
Huehuetenango,Aguacatán,Hombre,82,"Sí, con algo de dificultad",13
Huehuetenango,Aguacatán,Hombre,82,"Sí, con mucha dificultad",2
Huehuetenango,Aguacatán,Hombre,83,"No, sin dificultad",18
Huehuetenango,Aguacatán,Hombre,83,"Sí, con algo de dificultad",10
Huehuetenango,Aguacatán,Hombre,83,"Sí, con mucha dificultad",5
Huehuetenango,Aguacatán,Hombre,84,"No, sin dificultad",8
Huehuetenango,Aguacatán,Hombre,84,"Sí, con algo de dificultad",22
Huehuetenango,Aguacatán,Hombre,84,"Sí, con mucha dificultad",7
Huehuetenango,Aguacatán,Hombre,85,"No, sin dificultad",14
Huehuetenango,Aguacatán,Hombre,85,"Sí, con algo de dificultad",8
Huehuetenango,Aguacatán,Hombre,85,"Sí, con mucha dificultad",4
Huehuetenango,Aguacatán,Hombre,86,"No, sin dificultad",7
Huehuetenango,Aguacatán,Hombre,86,"Sí, con algo de dificultad",10
Huehuetenango,Aguacatán,Hombre,86,"Sí, con mucha dificultad",4
Huehuetenango,Aguacatán,Hombre,87,No puede,1
Huehuetenango,Aguacatán,Hombre,87,"No, sin dificultad",11
Huehuetenango,Aguacatán,Hombre,87,"Sí, con algo de dificultad",12
Huehuetenango,Aguacatán,Hombre,87,"Sí, con mucha dificultad",6
Huehuetenango,Aguacatán,Hombre,88,"No, sin dificultad",8
Huehuetenango,Aguacatán,Hombre,88,"Sí, con algo de dificultad",12
Huehuetenango,Aguacatán,Hombre,88,"Sí, con mucha dificultad",6
Huehuetenango,Aguacatán,Hombre,89,"No, sin dificultad",6
Huehuetenango,Aguacatán,Hombre,89,"Sí, con algo de dificultad",6
Huehuetenango,Aguacatán,Hombre,89,"Sí, con mucha dificultad",4
Huehuetenango,Aguacatán,Hombre,90,"No, sin dificultad",4
Huehuetenango,Aguacatán,Hombre,90,"Sí, con algo de dificultad",3
Huehuetenango,Aguacatán,Hombre,90,"Sí, con mucha dificultad",2
Huehuetenango,Aguacatán,Hombre,91,"No, sin dificultad",3
Huehuetenango,Aguacatán,Hombre,91,"Sí, con algo de dificultad",4
Huehuetenango,Aguacatán,Hombre,91,"Sí, con mucha dificultad",1
Huehuetenango,Aguacatán,Hombre,92,"No, sin dificultad",4
Huehuetenango,Aguacatán,Hombre,92,"Sí, con algo de dificultad",3
Huehuetenango,Aguacatán,Hombre,92,"Sí, con mucha dificultad",4
Huehuetenango,Aguacatán,Hombre,93,No declarado,1
Huehuetenango,Aguacatán,Hombre,93,"No, sin dificultad",2
Huehuetenango,Aguacatán,Hombre,93,"Sí, con algo de dificultad",5
Huehuetenango,Aguacatán,Hombre,93,"Sí, con mucha dificultad",2
Huehuetenango,Aguacatán,Hombre,94,"Sí, con algo de dificultad",1
Huehuetenango,Aguacatán,Hombre,94,"Sí, con mucha dificultad",2
Huehuetenango,Aguacatán,Hombre,95,"Sí, con mucha dificultad",4
Huehuetenango,Aguacatán,Hombre,96,"No, sin dificultad",2
Huehuetenango,Aguacatán,Hombre,97,"No, sin dificultad",1
Huehuetenango,Aguacatán,Hombre,97,"Sí, con mucha dificultad",1
Huehuetenango,Aguacatán,Hombre,98,"No, sin dificultad",1
Huehuetenango,Aguacatán,Hombre,103,No puede,1
Huehuetenango,Aguacatán,Mujer,0,,571
Huehuetenango,Aguacatán,Mujer,1,,584
Huehuetenango,Aguacatán,Mujer,2,,639
Huehuetenango,Aguacatán,Mujer,3,,618
Huehuetenango,Aguacatán,Mujer,4,No declarado,28
Huehuetenango,Aguacatán,Mujer,4,"No, sin dificultad",544
Huehuetenango,Aguacatán,Mujer,4,"Sí, con algo de dificultad",3
Huehuetenango,Aguacatán,Mujer,4,"Sí, con mucha dificultad",2
Huehuetenango,Aguacatán,Mujer,5,No declarado,8
Huehuetenango,Aguacatán,Mujer,5,No puede,1
Huehuetenango,Aguacatán,Mujer,5,"No, sin dificultad",579
Huehuetenango,Aguacatán,Mujer,5,"Sí, con algo de dificultad",4
Huehuetenango,Aguacatán,Mujer,5,"Sí, con mucha dificultad",1
Huehuetenango,Aguacatán,Mujer,6,No declarado,3
Huehuetenango,Aguacatán,Mujer,6,"No, sin dificultad",562
Huehuetenango,Aguacatán,Mujer,6,"Sí, con algo de dificultad",2
Huehuetenango,Aguacatán,Mujer,6,"Sí, con mucha dificultad",2
Huehuetenango,Aguacatán,Mujer,7,No declarado,7
Huehuetenango,Aguacatán,Mujer,7,"No, sin dificultad",606
Huehuetenango,Aguacatán,Mujer,7,"Sí, con algo de dificultad",4
Huehuetenango,Aguacatán,Mujer,7,"Sí, con mucha dificultad",1
Huehuetenango,Aguacatán,Mujer,8,No declarado,4
Huehuetenango,Aguacatán,Mujer,8,"No, sin dificultad",564
Huehuetenango,Aguacatán,Mujer,8,"Sí, con algo de dificultad",6
Huehuetenango,Aguacatán,Mujer,8,"Sí, con mucha dificultad",2
Huehuetenango,Aguacatán,Mujer,9,No declarado,5
Huehuetenango,Aguacatán,Mujer,9,"No, sin dificultad",545
Huehuetenango,Aguacatán,Mujer,9,"Sí, con algo de dificultad",8
Huehuetenango,Aguacatán,Mujer,10,No declarado,6
Huehuetenango,Aguacatán,Mujer,10,"No, sin dificultad",548
Huehuetenango,Aguacatán,Mujer,10,"Sí, con algo de dificultad",10
Huehuetenango,Aguacatán,Mujer,10,"Sí, con mucha dificultad",2
Huehuetenango,Aguacatán,Mujer,11,No declarado,3
Huehuetenango,Aguacatán,Mujer,11,No puede,1
Huehuetenango,Aguacatán,Mujer,11,"No, sin dificultad",585
Huehuetenango,Aguacatán,Mujer,11,"Sí, con algo de dificultad",3
Huehuetenango,Aguacatán,Mujer,11,"Sí, con mucha dificultad",2
Huehuetenango,Aguacatán,Mujer,12,No declarado,4
Huehuetenango,Aguacatán,Mujer,12,"No, sin dificultad",544
Huehuetenango,Aguacatán,Mujer,12,"Sí, con algo de dificultad",7
Huehuetenango,Aguacatán,Mujer,13,No declarado,7
Huehuetenango,Aguacatán,Mujer,13,"No, sin dificultad",571
Huehuetenango,Aguacatán,Mujer,13,"Sí, con algo de dificultad",3
Huehuetenango,Aguacatán,Mujer,14,No declarado,7
Huehuetenango,Aguacatán,Mujer,14,"No, sin dificultad",545
Huehuetenango,Aguacatán,Mujer,14,"Sí, con algo de dificultad",10
Huehuetenango,Aguacatán,Mujer,14,"Sí, con mucha dificultad",1
Huehuetenango,Aguacatán,Mujer,15,No declarado,5
Huehuetenango,Aguacatán,Mujer,15,"No, sin dificultad",617
Huehuetenango,Aguacatán,Mujer,15,"Sí, con algo de dificultad",15
Huehuetenango,Aguacatán,Mujer,16,No declarado,1
Huehuetenango,Aguacatán,Mujer,16,No puede,1
Huehuetenango,Aguacatán,Mujer,16,"No, sin dificultad",597
Huehuetenango,Aguacatán,Mujer,16,"Sí, con algo de dificultad",11
Huehuetenango,Aguacatán,Mujer,17,No declarado,2
Huehuetenango,Aguacatán,Mujer,17,No puede,1
Huehuetenango,Aguacatán,Mujer,17,"No, sin dificultad",641
Huehuetenango,Aguacatán,Mujer,17,"Sí, con algo de dificultad",7
Huehuetenango,Aguacatán,Mujer,18,No declarado,4
Huehuetenango,Aguacatán,Mujer,18,"No, sin dificultad",660
