NOMBRE DEPARTAMENTO,NOMBRE MUNICIPIO,PCP6||Sexo,PCP7,Recuento de PCP1,POCUPA||Personas Ocupadas
Sololá,Concepción,Hombre,0,68,
Sololá,Concepción,Hombre,1,89,
Sololá,Concepción,Hombre,2,68,
Sololá,Concepción,Hombre,3,59,
Sololá,Concepción,Hombre,4,103,
Sololá,Concepción,Hombre,5,86,
Sololá,Concepción,Hombre,6,102,
Sololá,Concepción,Hombre,7,93,
Sololá,Concepción,Hombre,8,99,
Sololá,Concepción,Hombre,8,1,Población ocupada
Sololá,Concepción,Hombre,9,97,
Sololá,Concepción,Hombre,9,1,Población ocupada
Sololá,Concepción,Hombre,10,124,
Sololá,Concepción,Hombre,10,2,Población ocupada
Sololá,Concepción,Hombre,11,79,
Sololá,Concepción,Hombre,11,4,Población ocupada
Sololá,Concepción,Hombre,12,100,
Sololá,Concepción,Hombre,12,11,Población ocupada
Sololá,Concepción,Hombre,13,70,
Sololá,Concepción,Hombre,13,17,Población ocupada
Sololá,Concepción,Hombre,14,62,
Sololá,Concepción,Hombre,14,25,Población ocupada
Sololá,Concepción,Hombre,15,44,
Sololá,Concepción,Hombre,15,30,Población ocupada
Sololá,Concepción,Hombre,16,41,
Sololá,Concepción,Hombre,16,39,Población ocupada
Sololá,Concepción,Hombre,17,34,
Sololá,Concepción,Hombre,17,38,Población ocupada
Sololá,Concepción,Hombre,18,39,
Sololá,Concepción,Hombre,18,45,Población ocupada
Sololá,Concepción,Hombre,19,25,
Sololá,Concepción,Hombre,19,41,Población ocupada
Sololá,Concepción,Hombre,20,25,
Sololá,Concepción,Hombre,20,48,Población ocupada
Sololá,Concepción,Hombre,21,14,
Sololá,Concepción,Hombre,21,37,Población ocupada
Sololá,Concepción,Hombre,22,9,
Sololá,Concepción,Hombre,22,47,Población ocupada
Sololá,Concepción,Hombre,23,12,
Sololá,Concepción,Hombre,23,50,Población ocupada
Sololá,Concepción,Hombre,24,9,
Sololá,Concepción,Hombre,24,46,Población ocupada
Sololá,Concepción,Hombre,25,10,
Sololá,Concepción,Hombre,25,50,Población ocupada
Sololá,Concepción,Hombre,26,4,
Sololá,Concepción,Hombre,26,59,Población ocupada
Sololá,Concepción,Hombre,27,3,
Sololá,Concepción,Hombre,27,27,Población ocupada
Sololá,Concepción,Hombre,28,10,
Sololá,Concepción,Hombre,28,46,Población ocupada
Sololá,Concepción,Hombre,29,7,
Sololá,Concepción,Hombre,29,29,Población ocupada
Sololá,Concepción,Hombre,30,7,
Sololá,Concepción,Hombre,30,72,Población ocupada
Sololá,Concepción,Hombre,31,2,
Sololá,Concepción,Hombre,31,35,Población ocupada
Sololá,Concepción,Hombre,32,4,
Sololá,Concepción,Hombre,32,36,Población ocupada
Sololá,Concepción,Hombre,33,1,
Sololá,Concepción,Hombre,33,44,Población ocupada
Sololá,Concepción,Hombre,34,30,Población ocupada
Sololá,Concepción,Hombre,35,1,
Sololá,Concepción,Hombre,35,31,Población ocupada
Sololá,Concepción,Hombre,36,1,
Sololá,Concepción,Hombre,36,22,Población ocupada
Sololá,Concepción,Hombre,37,5,
Sololá,Concepción,Hombre,37,27,Población ocupada
Sololá,Concepción,Hombre,38,3,
Sololá,Concepción,Hombre,38,30,Población ocupada
Sololá,Concepción,Hombre,39,2,
Sololá,Concepción,Hombre,39,24,Población ocupada
Sololá,Concepción,Hombre,40,2,
Sololá,Concepción,Hombre,40,32,Población ocupada
Sololá,Concepción,Hombre,41,21,Población ocupada
Sololá,Concepción,Hombre,42,4,
Sololá,Concepción,Hombre,42,29,Población ocupada
Sololá,Concepción,Hombre,43,20,Población ocupada
