NOMBRE DEPARTAMENTO,NOMBRE MUNICIPIO,PCP6||Sexo,PCP7,PEA||Población económicamente activa,Recuento de PCP1
Sacatepéquez,Antigua Guatemala,Hombre,0,,301
Sacatepéquez,Antigua Guatemala,Hombre,1,,382
Sacatepéquez,Antigua Guatemala,Hombre,2,,393
Sacatepéquez,Antigua Guatemala,Hombre,3,,390
Sacatepéquez,Antigua Guatemala,Hombre,4,,387
Sacatepéquez,Antigua Guatemala,Hombre,5,,339
Sacatepéquez,Antigua Guatemala,Hombre,6,,394
Sacatepéquez,Antigua Guatemala,Hombre,7,,347
Sacatepéquez,Antigua Guatemala,Hombre,7,Población económicamente activa,5
Sacatepéquez,Antigua Guatemala,Hombre,8,,376
Sacatepéquez,Antigua Guatemala,Hombre,8,Población económicamente activa,7
Sacatepéquez,Antigua Guatemala,Hombre,9,,369
Sacatepéquez,Antigua Guatemala,Hombre,9,Población económicamente activa,8
Sacatepéquez,Antigua Guatemala,Hombre,10,,430
Sacatepéquez,Antigua Guatemala,Hombre,10,Población económicamente activa,7
Sacatepéquez,Antigua Guatemala,Hombre,11,,366
Sacatepéquez,Antigua Guatemala,Hombre,11,Población económicamente activa,14
Sacatepéquez,Antigua Guatemala,Hombre,12,,391
Sacatepéquez,Antigua Guatemala,Hombre,12,Población económicamente activa,15
Sacatepéquez,Antigua Guatemala,Hombre,13,,386
Sacatepéquez,Antigua Guatemala,Hombre,13,Población económicamente activa,27
Sacatepéquez,Antigua Guatemala,Hombre,14,,400
Sacatepéquez,Antigua Guatemala,Hombre,14,Población económicamente activa,32
Sacatepéquez,Antigua Guatemala,Hombre,15,,361
Sacatepéquez,Antigua Guatemala,Hombre,15,Población económicamente activa,78
Sacatepéquez,Antigua Guatemala,Hombre,16,,359
Sacatepéquez,Antigua Guatemala,Hombre,16,Población económicamente activa,90
Sacatepéquez,Antigua Guatemala,Hombre,17,,350
Sacatepéquez,Antigua Guatemala,Hombre,17,Población económicamente activa,143
Sacatepéquez,Antigua Guatemala,Hombre,18,,315
Sacatepéquez,Antigua Guatemala,Hombre,18,Población económicamente activa,202
Sacatepéquez,Antigua Guatemala,Hombre,19,,196
Sacatepéquez,Antigua Guatemala,Hombre,19,Población económicamente activa,237
Sacatepéquez,Antigua Guatemala,Hombre,20,,145
