NOMBRE DEPARTAMENTO,NOMBRE MUNICIPIO,PCP6||Sexo,PCP7,Recuento de PCP1,PCP12||Autoidentificación
Guatemala,Amatitlán,Hombre,0,3,Afrodescendiente/Creole/Afromestizo
Guatemala,Amatitlán,Hombre,0,982,Ladina (o)
Guatemala,Amatitlán,Hombre,0,41,Maya
Guatemala,Amatitlán,Hombre,1,1,Afrodescendiente/Creole/Afromestizo
Guatemala,Amatitlán,Hombre,1,3,Extranjera (o)
Guatemala,Amatitlán,Hombre,1,1076,Ladina (o)
Guatemala,Amatitlán,Hombre,1,30,Maya
Guatemala,Amatitlán,Hombre,2,1,Extranjera (o)
Guatemala,Amatitlán,Hombre,2,1152,Ladina (o)
Guatemala,Amatitlán,Hombre,2,32,Maya
Guatemala,Amatitlán,Hombre,2,1,Xinka
Guatemala,Amatitlán,Hombre,3,3,Afrodescendiente/Creole/Afromestizo
Guatemala,Amatitlán,Hombre,3,2,Extranjera (o)
Guatemala,Amatitlán,Hombre,3,1124,Ladina (o)
Guatemala,Amatitlán,Hombre,3,28,Maya
Guatemala,Amatitlán,Hombre,4,1,Afrodescendiente/Creole/Afromestizo
Guatemala,Amatitlán,Hombre,4,1,Extranjera (o)
Guatemala,Amatitlán,Hombre,4,4,Garífuna
Guatemala,Amatitlán,Hombre,4,1170,Ladina (o)
Guatemala,Amatitlán,Hombre,4,35,Maya
Guatemala,Amatitlán,Hombre,4,3,Xinka
Guatemala,Amatitlán,Hombre,5,3,Afrodescendiente/Creole/Afromestizo
Guatemala,Amatitlán,Hombre,5,1,Extranjera (o)
Guatemala,Amatitlán,Hombre,5,1,Garífuna
Guatemala,Amatitlán,Hombre,5,1073,Ladina (o)
Guatemala,Amatitlán,Hombre,5,27,Maya
Guatemala,Amatitlán,Hombre,5,2,Xinka
Guatemala,Amatitlán,Hombre,6,2,Afrodescendiente/Creole/Afromestizo
Guatemala,Amatitlán,Hombre,6,3,Garífuna
Guatemala,Amatitlán,Hombre,6,1143,Ladina (o)
Guatemala,Amatitlán,Hombre,6,43,Maya
Guatemala,Amatitlán,Hombre,6,1,Xinka
Guatemala,Amatitlán,Hombre,7,2,Afrodescendiente/Creole/Afromestizo
Guatemala,Amatitlán,Hombre,7,2,Extranjera (o)
Guatemala,Amatitlán,Hombre,7,1,Garífuna
Guatemala,Amatitlán,Hombre,7,1087,Ladina (o)
Guatemala,Amatitlán,Hombre,7,34,Maya
Guatemala,Amatitlán,Hombre,7,1,Xinka
Guatemala,Amatitlán,Hombre,8,1,Afrodescendiente/Creole/Afromestizo
Guatemala,Amatitlán,Hombre,8,1,Extranjera (o)
Guatemala,Amatitlán,Hombre,8,1,Garífuna
Guatemala,Amatitlán,Hombre,8,1093,Ladina (o)
Guatemala,Amatitlán,Hombre,8,31,Maya
Guatemala,Amatitlán,Hombre,8,2,Xinka
Guatemala,Amatitlán,Hombre,9,3,Afrodescendiente/Creole/Afromestizo
Guatemala,Amatitlán,Hombre,9,2,Extranjera (o)
Guatemala,Amatitlán,Hombre,9,2,Garífuna
Guatemala,Amatitlán,Hombre,9,1083,Ladina (o)
Guatemala,Amatitlán,Hombre,9,40,Maya
Guatemala,Amatitlán,Hombre,9,2,Xinka
Guatemala,Amatitlán,Hombre,10,1,Afrodescendiente/Creole/Afromestizo
Guatemala,Amatitlán,Hombre,10,1,Extranjera (o)
Guatemala,Amatitlán,Hombre,10,1123,Ladina (o)
Guatemala,Amatitlán,Hombre,10,43,Maya
Guatemala,Amatitlán,Hombre,10,1,Xinka
Guatemala,Amatitlán,Hombre,11,1,Extranjera (o)
Guatemala,Amatitlán,Hombre,11,2,Garífuna
Guatemala,Amatitlán,Hombre,11,1073,Ladina (o)
Guatemala,Amatitlán,Hombre,11,24,Maya
Guatemala,Amatitlán,Hombre,11,2,Xinka
Guatemala,Amatitlán,Hombre,12,1,Afrodescendiente/Creole/Afromestizo
Guatemala,Amatitlán,Hombre,12,2,Extranjera (o)
Guatemala,Amatitlán,Hombre,12,1128,Ladina (o)
Guatemala,Amatitlán,Hombre,12,35,Maya
Guatemala,Amatitlán,Hombre,13,3,Afrodescendiente/Creole/Afromestizo
Guatemala,Amatitlán,Hombre,13,1,Extranjera (o)
Guatemala,Amatitlán,Hombre,13,1116,Ladina (o)
Guatemala,Amatitlán,Hombre,13,32,Maya
Guatemala,Amatitlán,Hombre,13,3,Xinka
Guatemala,Amatitlán,Hombre,14,4,Afrodescendiente/Creole/Afromestizo
Guatemala,Amatitlán,Hombre,14,2,Extranjera (o)
Guatemala,Amatitlán,Hombre,14,1,Garífuna
Guatemala,Amatitlán,Hombre,14,1181,Ladina (o)
Guatemala,Amatitlán,Hombre,14,28,Maya
Guatemala,Amatitlán,Hombre,15,8,Afrodescendiente/Creole/Afromestizo
Guatemala,Amatitlán,Hombre,15,2,Extranjera (o)
Guatemala,Amatitlán,Hombre,15,1109,Ladina (o)
Guatemala,Amatitlán,Hombre,15,36,Maya
Guatemala,Amatitlán,Hombre,15,1,Xinka
Guatemala,Amatitlán,Hombre,16,5,Afrodescendiente/Creole/Afromestizo
Guatemala,Amatitlán,Hombre,16,1,Extranjera (o)
Guatemala,Amatitlán,Hombre,16,1,Garífuna
Guatemala,Amatitlán,Hombre,16,1079,Ladina (o)
Guatemala,Amatitlán,Hombre,16,31,Maya
Guatemala,Amatitlán,Hombre,16,1,Xinka
Guatemala,Amatitlán,Hombre,17,4,Afrodescendiente/Creole/Afromestizo
Guatemala,Amatitlán,Hombre,17,3,Extranjera (o)
Guatemala,Amatitlán,Hombre,17,1263,Ladina (o)
Guatemala,Amatitlán,Hombre,17,32,Maya
Guatemala,Amatitlán,Hombre,18,2,Afrodescendiente/Creole/Afromestizo
Guatemala,Amatitlán,Hombre,18,2,Extranjera (o)
Guatemala,Amatitlán,Hombre,18,1,Garífuna
Guatemala,Amatitlán,Hombre,18,1320,Ladina (o)
Guatemala,Amatitlán,Hombre,18,45,Maya
Guatemala,Amatitlán,Hombre,19,3,Afrodescendiente/Creole/Afromestizo
Guatemala,Amatitlán,Hombre,19,1,Extranjera (o)
Guatemala,Amatitlán,Hombre,19,2,Garífuna
Guatemala,Amatitlán,Hombre,19,1180,Ladina (o)
Guatemala,Amatitlán,Hombre,19,39,Maya
Guatemala,Amatitlán,Hombre,19,2,Xinka
Guatemala,Amatitlán,Hombre,20,5,Afrodescendiente/Creole/Afromestizo
Guatemala,Amatitlán,Hombre,20,1,Extranjera (o)
Guatemala,Amatitlán,Hombre,20,1,Garífuna
Guatemala,Amatitlán,Hombre,20,1179,Ladina (o)
Guatemala,Amatitlán,Hombre,20,43,Maya
Guatemala,Amatitlán,Hombre,21,2,Afrodescendiente/Creole/Afromestizo
Guatemala,Amatitlán,Hombre,21,3,Extranjera (o)
Guatemala,Amatitlán,Hombre,21,1,Garífuna
Guatemala,Amatitlán,Hombre,21,1083,Ladina (o)
Guatemala,Amatitlán,Hombre,21,36,Maya
Guatemala,Amatitlán,Hombre,21,1,Xinka
Guatemala,Amatitlán,Hombre,22,1,Afrodescendiente/Creole/Afromestizo
Guatemala,Amatitlán,Hombre,22,6,Extranjera (o)
Guatemala,Amatitlán,Hombre,22,1,Garífuna
Guatemala,Amatitlán,Hombre,22,1262,Ladina (o)
Guatemala,Amatitlán,Hombre,22,46,Maya
