NOMBRE DEPARTAMENTO,NOMBRE MUNICIPIO,PCP6||Sexo,PCP7,Recuento de PCP1,POCUPA||Personas Ocupadas
Guatemala,Amatitlán,Hombre,0,1026,
Guatemala,Amatitlán,Hombre,1,1110,
Guatemala,Amatitlán,Hombre,2,1186,
Guatemala,Amatitlán,Hombre,3,1157,
Guatemala,Amatitlán,Hombre,4,1214,
Guatemala,Amatitlán,Hombre,5,1107,
Guatemala,Amatitlán,Hombre,6,1192,
Guatemala,Amatitlán,Hombre,7,1122,
Guatemala,Amatitlán,Hombre,7,5,Población ocupada
Guatemala,Amatitlán,Hombre,8,1124,
Guatemala,Amatitlán,Hombre,8,5,Población ocupada
Guatemala,Amatitlán,Hombre,9,1125,
Guatemala,Amatitlán,Hombre,9,7,Población ocupada
Guatemala,Amatitlán,Hombre,10,1160,
Guatemala,Amatitlán,Hombre,10,9,Población ocupada
Guatemala,Amatitlán,Hombre,11,1090,
Guatemala,Amatitlán,Hombre,11,12,Población ocupada
Guatemala,Amatitlán,Hombre,12,1150,
Guatemala,Amatitlán,Hombre,12,16,Población ocupada
Guatemala,Amatitlán,Hombre,13,1127,
Guatemala,Amatitlán,Hombre,13,28,Población ocupada
Guatemala,Amatitlán,Hombre,14,1168,
Guatemala,Amatitlán,Hombre,14,48,Población ocupada
Guatemala,Amatitlán,Hombre,15,1060,
Guatemala,Amatitlán,Hombre,15,96,Población ocupada
Guatemala,Amatitlán,Hombre,16,954,
Guatemala,Amatitlán,Hombre,16,164,Población ocupada
Guatemala,Amatitlán,Hombre,17,1002,
Guatemala,Amatitlán,Hombre,17,300,Población ocupada
Guatemala,Amatitlán,Hombre,18,837,
Guatemala,Amatitlán,Hombre,18,533,Población ocupada
Guatemala,Amatitlán,Hombre,19,584,
Guatemala,Amatitlán,Hombre,19,643,Población ocupada
Guatemala,Amatitlán,Hombre,20,413,
Guatemala,Amatitlán,Hombre,20,816,Población ocupada
Guatemala,Amatitlán,Hombre,21,291,
Guatemala,Amatitlán,Hombre,21,835,Población ocupada
Guatemala,Amatitlán,Hombre,22,292,
Guatemala,Amatitlán,Hombre,22,1024,Población ocupada
Guatemala,Amatitlán,Hombre,23,218,
Guatemala,Amatitlán,Hombre,23,1021,Población ocupada
Guatemala,Amatitlán,Hombre,24,160,
Guatemala,Amatitlán,Hombre,24,967,Población ocupada
Guatemala,Amatitlán,Hombre,25,158,
Guatemala,Amatitlán,Hombre,25,1019,Población ocupada
Guatemala,Amatitlán,Hombre,26,155,
Guatemala,Amatitlán,Hombre,26,885,Población ocupada
Guatemala,Amatitlán,Hombre,27,130,
Guatemala,Amatitlán,Hombre,27,923,Población ocupada
Guatemala,Amatitlán,Hombre,28,110,
Guatemala,Amatitlán,Hombre,28,963,Población ocupada
Guatemala,Amatitlán,Hombre,29,90,
Guatemala,Amatitlán,Hombre,29,871,Población ocupada
Guatemala,Amatitlán,Hombre,30,96,
Guatemala,Amatitlán,Hombre,30,945,Población ocupada
Guatemala,Amatitlán,Hombre,31,59,
Guatemala,Amatitlán,Hombre,31,652,Población ocupada
Guatemala,Amatitlán,Hombre,32,76,
Guatemala,Amatitlán,Hombre,32,783,Población ocupada
Guatemala,Amatitlán,Hombre,33,90,
Guatemala,Amatitlán,Hombre,33,772,Población ocupada
Guatemala,Amatitlán,Hombre,34,53,
Guatemala,Amatitlán,Hombre,34,705,Población ocupada
Guatemala,Amatitlán,Hombre,35,57,
Guatemala,Amatitlán,Hombre,35,779,Población ocupada
Guatemala,Amatitlán,Hombre,36,57,
Guatemala,Amatitlán,Hombre,36,728,Población ocupada
Guatemala,Amatitlán,Hombre,37,70,
Guatemala,Amatitlán,Hombre,37,680,Población ocupada
Guatemala,Amatitlán,Hombre,38,71,
Guatemala,Amatitlán,Hombre,38,834,Población ocupada
Guatemala,Amatitlán,Hombre,39,48,
Guatemala,Amatitlán,Hombre,39,629,Población ocupada
Guatemala,Amatitlán,Hombre,40,74,
